第7439次会议，2015年5月11日举行。	7439th meeting, held on 11 May 2015.
伊黎伊斯兰国自己发布视频，描述人们受到一系列令人发指的惩罚，包括投掷石块、从楼上推下去、斩首、用十字架钉死。	ISIL itself has published videos depicting people being subjected to a range of abhorrent punishments, including stoning, being pushed-off buildings, decapitation and crucifixion.
儿童基金会为难民营中成千上万个流离失所家庭发放了紧急现金援助，难民署则为弱势境内流离失所家庭分发了现金援助。	UNICEF disbursed emergency cash assistance to tens of thousands of displaced families in camps and UNHCR distributed cash assistance to vulnerable families which had been internally displaced.
31. 确认非洲同行审议机制自成立以来在非洲国家改进治理和支持社会经济发展方面所作的重要贡献，并在这方面回顾大会第六十八届会议期间于2013年10月21日为纪念该机制成立十周年举办的关于非洲通过非洲同行审议机制十年开展的治理创新的高级别小组讨论；	31. Recognizes the important contribution of the African Peer Review Mechanism since its inception in improving governance and supporting socioeconomic development in African countries, and recalls in this regard the high-level panel discussion held on 21 October 2013 on Africa's innovation in governance through 10 years of the African Peer Review Mechanism, organized during the sixty-eighth session of the General Assembly to commemorate the tenth anniversary of the Mechanism;
德国与其他国家之间主权债券的利差相对而言没有因2014年和2015年初希腊的政治和市场不确定性受到影响。	Spreads between sovereign bonds in Germany and those in other countries were relatively unaffected by political and market uncertainties concerning Greece in late 2014 and early 2015.
在取消了对欧元汇率下限的同时，还将活期存款账户余额利率降为负数，为-0.75%，以减缓升值压力和由此产生的货币紧缩状态。	The removal of the floor with respect to the euro was accompanied by a further move into negative territory of the interest rate on sight deposit account balances to -0.75 per cent in order to reduce appreciating pressures and the resulting tightening of monetary conditions.
定于2015年4月2日星期四上午10时15分举行	To be held on Thursday, 2 April 2015, at 10.15 a.m.
奉我国政府指示，谨随函转递一份名单，其中载有2015年4月13日至5月7日期间在阿勒颇被恐怖组织杀害的96名叙利亚平民的姓名，其中包括41名儿童(见附件)。	Upon instruction from my Government, I have the honour to attach herewith a list containing the names of 96 Syrian civilians, including 41 children, killed in Aleppo by terrorist groups during the period from 13 April 2015 to 7 May 2015 (see annex).
12. 重申应将被委员会认定违反第1970(2011)号决议各项规定，包括违反武器禁运，或协助他人违反上述规定的个人和实体列入名单，指出这包括协助违反第1970(2011)号决议中的资产冻结规定和旅行禁令的个人和实体；	12. Reiterates that individuals and entities determined by the Committee to have violated the provisions of resolution 1970 (2011), including the arms embargo, or assisted others in doing so, are subject to designation, and notes that this includes those who assist in the violation of the assets freeze and travel ban in resolution 1970 (2011);
23. 支持利比亚当局努力收回卡扎菲当政时被挪用的资金，为此鼓励利比亚当局以及按经第2009(2011)号决议修订的第1970(2011)和第1973(2011)号决议的规定冻结资产的会员国，就索取被挪用的资金和资金归属的有关问题相互协商；	23. Supports the efforts of the Libyan authorities to recover funds misappropriated under the Qadhafi regime and, in this regard, encourages the Libyan authorities and Member States that have frozen assets pursuant to resolutions 1970 (2011) and 1973 (2011) as modified by resolution 2009 (2011) to consult with each other regarding claims of misappropriated funds and related issues of ownership;
安全理事会第1518(2003)号决议所设委员会	Security Council Committee established pursuant to resolution 1518 (2003)
为了计算相关系数，已将于2015年12月31日生效的比利时退出本组织及马绍尔群岛于2015年3月16日加入本组织考虑在内，因此，计算时所列入的国家有169个国家。	For the purposes of the calculation of the coefficient, the withdrawal of Belgium, which becomes effective on 31 December 2015, as well as the accession of the Marshall Islands on 16 March 2015 has already been taken into account and hence 169 countries are included in the calculation.
1. 通过议程。	1. Adoption of the agenda.
13. 我们强调需要在各级加紧努力实现2015年后国际森林安排的各项目标，还需要为2015至2030年期间制订更强大、更有效和更妥善的安排；	13. We underscore the need to accelerate efforts at all levels to achieve the objectives of the international arrangement on forests beyond 2015 and the need to establish a stronger, more effective and solid arrangement for the period 2015 to 2030;
空运	Air transportation
6. 审议大会重申，严格遵守《条约》的所有规定，对于实现彻底消除核武器、阻止在任何情况下使用和进一步扩散核武器以及保持《条约》对和平与安全的重要贡献这一共同目标，仍然是至关重要的。	6. The Conference reaffirms that the strict observance of all the provisions of the Treaty remains central to achieving the shared objectives of the total elimination of nuclear weapons, preventing under any circumstances the use and further proliferation of nuclear weapons, and preserving the Treaty's vital contribution to peace and security.
审议大会申明，在实现这一目标之前，为了人类生存，绝不再使用核武器。	The Conference affirms that, pending the realization of this objective, it is in the interest of the very survival of humanity that nuclear weapons never be used again.
下文表2列出了各种培训活动。	The various training activities are listed in table 2 below.
按照安全理事会有关决议规定的义务，《移徙条例》规定，安全理事会决议要求澳大利亚阻止在澳大利亚入境或过境的人不得获发签证，如已获发签证，应予取消。	The Migration Regulations provide that a person who is or becomes the subject of a resolution of the Security Council which requires Australia to prevent that person entering or transiting through Australian territory is unable to be granted a visa, or, if a visa has already been granted, to have his or her visa cancelled, consistent with the obligations in the relevant Council resolution.
